person;None;None
bicycle;https://storage.googleapis.com/quickdraw_dataset/full/raw/bicycle.ndjson;bicycle.ndjson
car;https://storage.googleapis.com/quickdraw_dataset/full/raw/car.ndjson;car.ndjson
motorcycle;https://storage.googleapis.com/quickdraw_dataset/full/raw/motorbike.ndjson;motorbike.ndjson
airplane;https://storage.googleapis.com/quickdraw_dataset/full/raw/airplane.ndjson;airplane.ndjson
bus;https://storage.googleapis.com/quickdraw_dataset/full/raw/bus.ndjson;bus.ndjson
train;https://storage.googleapis.com/quickdraw_dataset/full/raw/train.ndjson;train.ndjson
truck;https://storage.googleapis.com/quickdraw_dataset/full/raw/truck.ndjson;truck.ndjson
boat;None;None
traffic light;https://storage.googleapis.com/quickdraw_dataset/full/raw/traffic%20light.ndjson;traffic light.ndjson
fire hydrant;https://storage.googleapis.com/quickdraw_dataset/full/raw/fire%20hydrant.ndjson;fire hydrant.ndjson
stop sign;https://storage.googleapis.com/quickdraw_dataset/full/raw/stop%20sign.ndjson;stop sign.ndjson
parking meter;None;None
bench;https://storage.googleapis.com/quickdraw_dataset/full/raw/bench.ndjson;bench.ndjson
bird;https://storage.googleapis.com/quickdraw_dataset/full/raw/bird.ndjson;bird.ndjson
cat;https://storage.googleapis.com/quickdraw_dataset/full/raw/cat.ndjson;cat.ndjson
dog;https://storage.googleapis.com/quickdraw_dataset/full/raw/dog.ndjson;dog.ndjson
horse;https://storage.googleapis.com/quickdraw_dataset/full/raw/horse.ndjson;horse.ndjson
sheep;https://storage.googleapis.com/quickdraw_dataset/full/raw/sheep.ndjson;sheep.ndjson
cow;https://storage.googleapis.com/quickdraw_dataset/full/raw/cow.ndjson;cow.ndjson
elephant;https://storage.googleapis.com/quickdraw_dataset/full/raw/elephant.ndjson;elephant.ndjson
bear;https://storage.googleapis.com/quickdraw_dataset/full/raw/bear.ndjson;bear.ndjson
zebra;https://storage.googleapis.com/quickdraw_dataset/full/raw/zebra.ndjson;zebra.ndjson
giraffe;https://storage.googleapis.com/quickdraw_dataset/full/raw/giraffe.ndjson;giraffe.ndjson
backpack;https://storage.googleapis.com/quickdraw_dataset/full/raw/backpack.ndjson;backpack.ndjson
umbrella;https://storage.googleapis.com/quickdraw_dataset/full/raw/umbrella.ndjson;umbrella.ndjson
handbag;None;None
tie;None;None
suitcase;https://storage.googleapis.com/quickdraw_dataset/full/raw/suitcase.ndjson;suitcase.ndjson
frisbee;None;None
skis;None;None
snowboard;None;None
sports ball;None;None
kite;None;None
baseball bat;https://storage.googleapis.com/quickdraw_dataset/full/raw/baseball%20bat.ndjson;baseball bat.ndjson
baseball glove;None;None
skateboard;https://storage.googleapis.com/quickdraw_dataset/full/raw/skateboard.ndjson;skateboard.ndjson
surfboard;None;None
tennis racket;https://storage.googleapis.com/quickdraw_dataset/full/raw/tennis%20racquet.ndjson;tennis racquet.ndjson
bottle;None;None
wine glass;https://storage.googleapis.com/quickdraw_dataset/full/raw/wine%20glass.ndjson;wine glass.ndjson
cup;https://storage.googleapis.com/quickdraw_dataset/full/raw/cup.ndjson;cup.ndjson
fork;https://storage.googleapis.com/quickdraw_dataset/full/raw/fork.ndjson;fork.ndjson
knife;https://storage.googleapis.com/quickdraw_dataset/full/raw/knife.ndjson;knife.ndjson
spoon;https://storage.googleapis.com/quickdraw_dataset/full/raw/spoon.ndjson;spoon.ndjson
bowl;None;None
banana;https://storage.googleapis.com/quickdraw_dataset/full/raw/banana.ndjson;banana.ndjson
apple;https://storage.googleapis.com/quickdraw_dataset/full/raw/apple.ndjson;apple.ndjson
sandwich;https://storage.googleapis.com/quickdraw_dataset/full/raw/sandwich.ndjson;sandwich.ndjson
orange;None;None
broccoli;https://storage.googleapis.com/quickdraw_dataset/full/raw/broccoli.ndjson;broccoli.ndjson
carrot;https://storage.googleapis.com/quickdraw_dataset/full/raw/carrot.ndjson;carrot.ndjson
hot dog;https://storage.googleapis.com/quickdraw_dataset/full/raw/hot%20dog.ndjson;hot dog.ndjson
pizza;https://storage.googleapis.com/quickdraw_dataset/full/raw/pizza.ndjson;pizza.ndjson
donut;https://storage.googleapis.com/quickdraw_dataset/full/raw/donut.ndjson;donut.ndjson
cake;https://storage.googleapis.com/quickdraw_dataset/full/raw/cake.ndjson;cake.ndjson
